"","rank","game_id","min_players","max_players","avg_time","min_time","max_time","year","avg_rating","geek_rating","num_votes","age","owned","weight","catSplit_Exploration","catSplit_Fantasy","catSplit_Fighting","catSplit_Miniatures","catSplit_Economic","catSplit_Political","catSplit_Wargame","catSplit_Science Fiction","catSplit_Territory Building","catSplit_Card Game","catSplit_Medieval","catSplit_Dice","catSplit_Deduction","catSplit_Party Game","catSplit_Negotiation","catSplit_Real-time","catSplit_World War II","catSplit_Humor","mechSplit_Grid Movement","mechSplit_Hand Management","mechSplit_Modular Board","mechSplit_Simultaneous Action Selection","mechSplit_Point to Point Movement","mechSplit_Set Collection","mechSplit_Variable Player Powers","mechSplit_Card Drafting","mechSplit_Dice Rolling","mechSplit_Tile Placement","mechSplit_Area Movement","mechSplit_Route/Network Building","mechSplit_Worker Placement","mechSplit_Deck / Pool Building","mechSplit_Partnerships","mechSplit_Press Your Luck","mechSplit_Secret Unit Deployment","mechSplit_Pick-up and Deliver","mechSplit_Hex-and-Counter","mechSplit_Take That","mechSplit_Simulation"
"1384",2243,65534,2,4,60,60,60,2011,6.74955,5.95519,617,13,1826,3.2933,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1386",2245,67600,1,1,420,0,420,2014,8.23932,5.95495,221,0,1006,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1388",2247,713,2,6,60,60,60,1965,6.20999,5.95405,2603,10,3582,1.4453,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1389",2248,110524,2,4,60,60,60,2012,6.49032,5.95397,924,13,1444,2.3385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"1393",2251,50381,4,30,30,30,30,2009,6.1155,5.95291,16334,17,26810,1.2378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1397",2255,29259,2,2,120,120,120,2007,6.87764,5.95069,594,10,1385,2.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1400",2258,199904,1,4,360,45,360,2017,8.16299,5.94998,245,12,1062,4.2353,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1404",2261,13532,2,2,4500,4500,4500,2001,8.04512,5.94951,244,12,900,4.3846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1405",2262,670,1,2,120,120,120,1976,6.46323,5.9492,1065,12,3041,3.0833,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1407",2264,21287,2,4,90,90,90,2006,6.37135,5.94878,1174,10,1934,2.729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1408",2265,24843,3,5,90,90,90,2006,6.7313,5.94858,611,12,720,3.0123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1410",2267,205498,2,5,90,60,90,2016,7.37475,5.94839,343,10,654,3.2143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1412",2269,31790,1,2,360,180,360,2013,8.43702,5.94723,208,14,463,3.1905,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1414",2270,182770,2,2,60,60,60,2016,7.66698,5.94719,278,14,790,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1415",2271,29581,1,6,90,90,90,2008,6.33591,5.94714,1310,12,1615,2.6335,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1418",2274,38032,3,6,45,45,45,2008,6.56789,5.94674,746,8,913,1.6133,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1419",2275,142267,2,6,30,30,30,2013,6.63897,5.94669,640,10,1662,2.1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1421",2277,177965,2,6,30,30,30,2015,6.89565,5.94652,515,7,976,1.4583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1423",2279,14080,1,2,360,360,360,2005,7.37924,5.94637,344,12,1135,2.8667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1425",2280,119337,3,5,120,120,120,2012,6.66665,5.94626,662,14,1010,2.9342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"1426",2281,1917,2,2,45,45,45,1944,6.05106,5.9456,10889,8,17588,1.8561,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1429",2284,65200,2,6,30,30,30,2010,6.39659,5.94497,1042,10,1626,2.1867,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"1433",2288,10383,2,5,120,120,120,2004,6.28752,5.94377,2166,10,4188,2.6745,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1435",229,15987,1,8,360,120,360,2005,7.3254,7.15817,31807,12,41025,3.5505,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1439",2293,112869,3,6,90,90,90,2012,6.58473,5.94318,952,10,2636,2.0556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1443",2297,68076,2,4,60,60,60,2016,8.27652,5.9427,221,12,975,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"1446",23,164153,2,5,120,60,120,2014,8.16192,7.87141,13445,14,23681,3.2768,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1447",230,13122,2,4,180,120,180,2004,7.8606,7.15693,2411,14,3120,4.2914,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1451",2303,156,2,6,60,60,60,1985,6.85013,5.94122,528,10,775,1.8814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1455",2307,29602,2,2,45,45,45,2008,6.71188,5.93998,693,12,1792,2.2317,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1457",2309,2228,2,3,180,180,180,1977,6.57672,5.93961,829,12,1869,3.4526,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1458",231,157969,3,5,60,60,60,2014,7.28673,7.15578,18710,13,29295,1.6717,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1459",2310,24878,2,2,60,60,60,2006,6.93458,5.93931,535,12,905,2.8267,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1460",2311,96704,2,4,30,30,30,2011,6.7458,5.93931,569,0,873,2.4595,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1462",2313,4258,2,3,360,360,360,1999,7.48994,5.9388,316,12,638,4.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"1463",2314,283,2,6,2480,2480,2480,1992,6.75945,5.93852,654,12,1397,4.5221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1464",2315,146735,3,6,90,60,90,2014,6.56028,5.93826,1081,10,3298,1.8889,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1469",232,163967,1,5,60,30,60,2015,7.41258,7.15431,8229,14,14984,2.152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1471",2321,69120,2,4,45,45,45,2010,6.32293,5.93744,1454,10,2651,2.3364,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"1472",2322,178613,3,7,45,30,45,2015,6.4824,5.93666,942,10,1922,1.7879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1474",2324,2748,2,2,360,360,360,2001,6.80216,5.93615,588,14,1218,3.1031,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1477",2327,17970,2,2,60,60,60,2005,6.51731,5.93592,1049,10,1660,2.2931,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
